item,itemLabel,elev
http://www.wikidata.org/entity/Q520,オリンポス山,21229.0
http://www.wikidata.org/entity/Q499164,アスクレウス山,18225.0
http://www.wikidata.org/entity/Q499164,アスクレウス山,18225.0
http://www.wikidata.org/entity/Q1423213,タルシス三山,18200.0
http://www.wikidata.org/entity/Q18002964,ボオサウレ山脈,17850.0
http://www.wikidata.org/entity/Q704936,アルシア山,17761.0
http://www.wikidata.org/entity/Q704936,アルシア山,17761.0
http://www.wikidata.org/entity/Q1520855,ブラックバーン山,16390.0
http://www.wikidata.org/entity/Q1520855,ブラックバーン山,16390.0
http://www.wikidata.org/entity/Q945543,Crestone Needle,14203.0
http://www.wikidata.org/entity/Q6919666,Mount Belford,14203.0
http://www.wikidata.org/entity/Q6919868,Mount Bross,14178.0
http://www.wikidata.org/entity/Q3382311,Kit Carson Peak,14171.0
http://www.wikidata.org/entity/Q5351150,El Diente Peak,14165.0
http://www.wikidata.org/entity/Q7673004,Tabeguache Peak,14162.0
http://www.wikidata.org/entity/Q4419260,Mount Sill,14159.0
http://www.wikidata.org/entity/Q8522735,Mount Democrat,14155.0
http://www.wikidata.org/entity/Q4390381,Mount Russell,14094.0
http://www.wikidata.org/entity/Q5068967,Challenger Point,14087.0
http://www.wikidata.org/entity/Q6879597,Missouri Mountain,14074.0
http://www.wikidata.org/entity/Q7640490,Sunlight Peak,14065.0
http://www.wikidata.org/entity/Q4437980,Split Mountain,14064.0
http://www.wikidata.org/entity/Q735657,パヴォニス山,14058.0
http://www.wikidata.org/entity/Q735657,パヴォニス山,14058.0
http://www.wikidata.org/entity/Q5365433,Ellingwood Point,14048.0
http://www.wikidata.org/entity/Q6921848,Mount Lindsey,14048.0
http://www.wikidata.org/entity/Q6649033,Little Bear Peak,14043.0
http://www.wikidata.org/entity/Q6923597,Mount Sherman,14043.0
http://www.wikidata.org/entity/Q7305571,Redcloud Peak,14041.0
http://www.wikidata.org/entity/Q6921760,Mount Langley,14032.0
http://www.wikidata.org/entity/Q924119,エリシウム山,14028.0
http://www.wikidata.org/entity/Q924119,エリシウム山,14028.0
http://www.wikidata.org/entity/Q4457828,ティンダル山,14025.0
http://www.wikidata.org/entity/Q7263271,Pyramid Peak,14025.0
http://www.wikidata.org/entity/Q4292810,Middle Palisade,14018.0
http://www.wikidata.org/entity/Q8522740,Huron Peak,14012.0
http://www.wikidata.org/entity/Q7799118,Thunderbolt Peak,14009.0
http://www.wikidata.org/entity/Q7641544,Sunshine Peak,14007.0
http://www.wikidata.org/entity/Q6919623,Mount Barnard,13996.0
http://www.wikidata.org/entity/Q3198850,Mount Humphreys,13992.0
http://www.wikidata.org/entity/Q5149797,Columbia Point,13986.0
http://www.wikidata.org/entity/Q6921618,Mount Keith,13982.0
http://www.wikidata.org/entity/Q6923833,Mount Stanford,13979.0
http://www.wikidata.org/entity/Q7193310,Pigeon Peak,13978.0
http://www.wikidata.org/entity/Q8535058,Mount Stevens (Alaska),13966.0
http://www.wikidata.org/entity/Q14684514,French Mountain,13966.0
http://www.wikidata.org/entity/Q14684500,Fletcher Mountain,13958.0
http://www.wikidata.org/entity/Q14684616,Ice Mountain (Colorado),13958.0
http://www.wikidata.org/entity/Q14685041,Pacific Peak,13957.0
http://www.wikidata.org/entity/Q14684989,Mount Hope (Colorado),13939.0
http://www.wikidata.org/entity/Q6919249,Mount Adams,13937.0
http://www.wikidata.org/entity/Q6921791,Mount LeConte,13936.0
http://www.wikidata.org/entity/Q8526744,Mount Meeker,13916.0
http://www.wikidata.org/entity/Q14684358,Casco Peak,13915.0
