item,itemLabel,elev
http://www.wikidata.org/entity/Q7696249,Telegraph Peak,8989.0
http://www.wikidata.org/entity/Q5694932,Heavens Peak,8987.0
http://www.wikidata.org/entity/Q8529786,Mount Isto,8976.0
http://www.wikidata.org/entity/Q3322057,Mount Redoubt,8969.0
http://www.wikidata.org/entity/Q8524176,Salinas Peak,8967.0
http://www.wikidata.org/entity/Q8051769,イエロー・マウンテン,8966.0
http://www.wikidata.org/entity/Q39050236,Elkhorn Peak,8963.0
http://www.wikidata.org/entity/Q7303931,Red Cones,8960.0
http://www.wikidata.org/entity/Q3344122,North Gardner Mountain,8956.0
http://www.wikidata.org/entity/Q48774810,Tin Mountain,8953.0
http://www.wikidata.org/entity/Q6919979,Mount Cannon,8952.0
http://www.wikidata.org/entity/Q22546474,Mount Marriott,8937.0
http://www.wikidata.org/entity/Q7516231,Silver Peak,8934.0
http://www.wikidata.org/entity/Q1548991,Tharsis Tholus,8930.0
http://www.wikidata.org/entity/Q7966765,Walton Mountain,8926.0
http://www.wikidata.org/entity/Q4733927,Almost-a-Dog Mountain,8922.0
http://www.wikidata.org/entity/Q7071858,オリアリー・ピーク,8919.0
http://www.wikidata.org/entity/Q23016756,Mount Hubley,8917.0
http://www.wikidata.org/entity/Q5189233,Crowfeet Mountain,8914.0
http://www.wikidata.org/entity/Q6673793,Longfellow Peak,8904.0
http://www.wikidata.org/entity/Q5332740,Echo Peak,8899.0
http://www.wikidata.org/entity/Q4948023,Boston Peak,8894.0
http://www.wikidata.org/entity/Q7458180,Seward Mountain,8894.0
http://www.wikidata.org/entity/Q7994511,White Calf Mountain,8893.0
http://www.wikidata.org/entity/Q6920334,Mount Custer,8883.0
http://www.wikidata.org/entity/Q8532711,Norris Mountain,8882.0
http://www.wikidata.org/entity/Q7304090,Red Eagle Mountain,8881.0
http://www.wikidata.org/entity/Q49052946,Mount Hay,8881.0
http://www.wikidata.org/entity/Q7535205,Skillern Peak,8878.0
http://www.wikidata.org/entity/Q7697644,Tells Peak,8876.0
http://www.wikidata.org/entity/Q5354112,Eldorado Peak,8868.0
http://www.wikidata.org/entity/Q5593133,Graham Peak,8867.0
http://www.wikidata.org/entity/Q5192310,Cucamonga Peak,8862.0
http://www.wikidata.org/entity/Q6836215,Miche Wabun Peak,8861.0
http://www.wikidata.org/entity/Q6922174,Mount Michelson,8852.0
http://www.wikidata.org/entity/Q6924314,Mount Vaught,8850.0
http://www.wikidata.org/entity/Q21839555,Dorian Montes,8850.0
http://www.wikidata.org/entity/Q513,エベレスト,8848.86
http://www.wikidata.org/entity/Q6922761,Mount Pinos,8847.0
http://www.wikidata.org/entity/Q8532688,Mount Henry (Montana),8847.0
http://www.wikidata.org/entity/Q7675648,Tahquitz Peak,8846.0
http://www.wikidata.org/entity/Q6791991,Maturango Peak,8843.0
http://www.wikidata.org/entity/Q28604457,Mount Helen,8842.0
