dataset_slug,dataset_name,metric_key,metric_name,unit,item_key,item_name,value
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q520,オリンポス山,21229
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q499164,アスクレウス山,18225
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q499164,アスクレウス山,18225
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q1423213,タルシス三山,18200
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q18002964,ボオサウレ山脈,17850
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q704936,アルシア山,17761
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q704936,アルシア山,17761
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q1520855,ブラックバーン山,16390
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q1520855,ブラックバーン山,16390
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q945543,Crestone Needle,14203
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6919666,Mount Belford,14203
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6919868,Mount Bross,14178
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q3382311,Kit Carson Peak,14171
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q5351150,El Diente Peak,14165
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q7673004,Tabeguache Peak,14162
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q4419260,Mount Sill,14159
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q8522735,Mount Democrat,14155
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q4390381,Mount Russell,14094
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q5068967,Challenger Point,14087
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6879597,Missouri Mountain,14074
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q7640490,Sunlight Peak,14065
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q4437980,Split Mountain,14064
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q735657,パヴォニス山,14058
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q735657,パヴォニス山,14058
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q5365433,Ellingwood Point,14048
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6921848,Mount Lindsey,14048
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6649033,Little Bear Peak,14043
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6923597,Mount Sherman,14043
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q7305571,Redcloud Peak,14041
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6921760,Mount Langley,14032
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q924119,エリシウム山,14028
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q924119,エリシウム山,14028
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q4457828,ティンダル山,14025
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q7263271,Pyramid Peak,14025
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q4292810,Middle Palisade,14018
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q8522740,Huron Peak,14012
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q7799118,Thunderbolt Peak,14009
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q7641544,Sunshine Peak,14007
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6919623,Mount Barnard,13996
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q3198850,Mount Humphreys,13992
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q5149797,Columbia Point,13986
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6921618,Mount Keith,13982
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6923833,Mount Stanford,13979
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q7193310,Pigeon Peak,13978
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q8535058,Mount Stevens (Alaska),13966
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14684514,French Mountain,13966
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14684500,Fletcher Mountain,13958
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14684616,Ice Mountain (Colorado),13958
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14685041,Pacific Peak,13957
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14684989,Mount Hope (Colorado),13939
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6919249,Mount Adams,13937
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6921791,Mount LeConte,13936
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q8526744,Mount Meeker,13916
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14684358,Casco Peak,13915
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14685073,レッドマウンテン (コスティラ郡),13914
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14684482,Emerald Peak,13911
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14684599,Horseshoe Mountain (Colorado),13905
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6919275,Mount Agassiz,13899
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6311758,ジャンクション・ピーク,13894
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14684417,Cronin Peak,13877
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14684976,Mount Buckskin,13872
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14684663,Jones Mountain,13866
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14684391,Clinton Peak,13864
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14684453,Dyer Mountain,13862
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q8525889,Norman Clyde Peak,13861
