dataset_slug,dataset_name,metric_key,metric_name,unit,item_key,item_name,value
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q7696249,Telegraph Peak,8989
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q5694932,Heavens Peak,8987
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q8529786,Mount Isto,8976
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q3322057,Mount Redoubt,8969
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q8524176,Salinas Peak,8967
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q8051769,イエロー・マウンテン,8966
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q39050236,Elkhorn Peak,8963
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q7303931,Red Cones,8960
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q3344122,North Gardner Mountain,8956
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q48774810,Tin Mountain,8953
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q6919979,Mount Cannon,8952
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q22546474,Mount Marriott,8937
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q7516231,Silver Peak,8934
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q1548991,Tharsis Tholus,8930
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q7966765,Walton Mountain,8926
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q4733927,Almost-a-Dog Mountain,8922
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q7071858,オリアリー・ピーク,8919
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q23016756,Mount Hubley,8917
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q5189233,Crowfeet Mountain,8914
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q6673793,Longfellow Peak,8904
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q5332740,Echo Peak,8899
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q4948023,Boston Peak,8894
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q7458180,Seward Mountain,8894
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q7994511,White Calf Mountain,8893
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q6920334,Mount Custer,8883
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q8532711,Norris Mountain,8882
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q7304090,Red Eagle Mountain,8881
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q49052946,Mount Hay,8881
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q7535205,Skillern Peak,8878
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q7697644,Tells Peak,8876
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q5354112,Eldorado Peak,8868
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q5593133,Graham Peak,8867
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q5192310,Cucamonga Peak,8862
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q6836215,Miche Wabun Peak,8861
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q6922174,Mount Michelson,8852
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q6924314,Mount Vaught,8850
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q21839555,Dorian Montes,8850
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q513,エベレスト,8849
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q6922761,Mount Pinos,8847
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q8532688,Mount Henry (Montana),8847
world-mountains-earth,世界の山（地球・Wikidata）,height_m,標高,m,Q7675648,Tahquitz Peak,8846
